,contractions,posture_lying,posture_standing,gastric_eating,gastric_normal,gastric_ruminating,gastric_unhealthy,bouts,amount,temperature,activity
2022-01-26 11:00:00,"[4.0, 4.0, 5.0, 4.0, 3.0, 5.0, 5.0, 4.0, 3.0, 3.0, 4.0, 2.0, 3.0, 4.0, 3.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.6,9
2022-01-26 12:00:00,"[5.0, 4.0, 4.0, 3.0, 5.0, 6.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.5,6
2022-01-26 13:00:00,"[4.0, 5.0, 4.0, 5.0, 6.0, 6.0, 6.0, 7.0, 6.0, 4.0, 5.0, 7.0, 7.0, 7.0, 5.0]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0,39.4,16
2022-01-26 14:00:00,"[6.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,5,39.4,14
2022-01-26 15:00:00,"[6.0, 6.0, 6.0, 5.0, 5.0, 6.0, 5.0, 7.0, 6.0, 6.0, 5.0, 5.0, 6.0, 5.0, 5.0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",1,3,39.4,9
2022-01-26 16:00:00,"[5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 3.0, 4.0, 4.0, 5.0, 6.0, 4.0, 5.0, 4.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",0,0,39.5,8
2022-01-26 17:00:00,"[5.0, 5.0, 6.0, 6.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 4.0, 4.0, 6.0]","[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.6,8
2022-01-26 18:00:00,"[5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 3.0, 5.0, 6.0, 5.0, 5.0, 6.0, 4.0, 7.0, 6.0]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.6,12
2022-01-26 19:00:00,"[6.0, 7.0, 6.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 3.0, 6.0, 6.0, 7.0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.6,16
2022-01-26 20:00:00,"[5.0, 6.0, 5.0, 6.0, 5.0, 5.0, 6.0, 5.0, 7.0, 5.0, 6.0, 7.0, 3.0, 7.0, 4.0]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.6,11
2022-01-26 21:00:00,"[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 5.0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.6,5
2022-01-26 22:00:00,"[4.0, 4.0, 4.0, 5.0, 6.0, 8.0, 4.0, 6.0, 6.0, 7.0, 4.0, 4.0, 5.0, 7.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.6,6
